id,idiom,meaning,example,relevance
528,To be in the same boat,To be in the same situation as someone else,"When it started raining during the picnic, we were all in the same boat and had to pack up quickly.",4 class
529,To take the plunge,To take a big risk or make a big decision,"After years of saving money, they finally took the plunge and bought a house.",4 class
530,To be swept away,To be completely taken or overcome by something,She was swept away by the beautiful scenery and felt at peace.,4 class
531,To be on top of the world,To feel extremely happy or successful,"After winning the game, he was on top of the world.",4 class
532,To come out on top,To be the winner or succeed in a situation,"Even though he was the underdog, he came out on top in the race.",4 class
533,To be over the top,To be excessive or exaggerated,"Her decorations for the party were a little over the top, but they looked great.",4 class
534,To go over the top,To do more than what is expected or required,I wanted to go over the top for my mom's birthday and get her a really special present.,4 class
535,To be at the top of one's game,To be performing at one's best,"After practicing for weeks, she was at the top of her game for the music recital.",4 class
536,To be over the hill,To be too old to do something well,"Some people think that when you turn 40, you're over the hill.",4 class
537,To be at the top of the heap,To be in a position of great success or power,The CEO was at the top of the heap when it came to the company's decision-making.,4 class
538,To be on top of things,To be in control of a situation,"If you want to be successful, you need to be on top of things and stay organized.",4 class
539,To be over the top of someone,To have power or control over someone,The teacher was over the top of the students when it came to classroom rules.,4 class
540,To reach for the top,To strive for success or to achieve something great,"Even though the task was difficult, she was determined to reach for the top.",4 class
541,To be on top of the world,To feel extremely happy or successful,"After winning the game, he was on top of the world.",4 class
542,To be at the top of one's game,To be performing at one's best,"After practicing for weeks, she was at the top of her game for the music recital.",4 class
543,To be at the top of the class,To have the highest grades in a class,"After studying hard, she was at the top of the class for math.",4 class
544,To be on top of the situation,To be in control of a situation,The firefighter was on top of the situation and quickly put out the fire.,4 class
545,To be on top form,To be in great physical or mental condition,"After exercising regularly, he was on top form for the basketball game.",4 class
546,To be over the top,To be excessive or exaggerated,"His jokes during the party were over the top, but everyone laughed anyway.",4 class
547,To be over the top of someone,To have power or control over someone,The boss was over the top of the employees when it came to company policies.,4 class
548,To be over the top of something,To have completed or surpassed a task or goal,"After finishing the project, she was over the top of her to-do list.",4 class
549,To be on top of the leaderboard,To have the highest score or ranking in a competition,"After winning the first round, she was on top of the leaderboard for the video game tournament.",4 class
550,To be on top of the mountain,To have reached the highest point of a mountain,"After climbing for hours, they finally reached the top of the mountain.",4 class
551,To think outside the box,To think creatively or outside of conventional ideas,"If we want to solve this problem, we need to think outside the box.",4 class
552,To be in the box seat,To be in a position of advantage or control,"With her years of experience, she was in the box seat for the new project.",4 class
553,To be boxed in,To be stuck or trapped with limited options,"After getting lost in the woods, they felt boxed in with no way out.",4 class
554,To be out of the box,To be unconventional or different,Her ideas were out of the box and challenged traditional thinking.,4 class
555,To be a square peg in a round hole,To be someone who does not fit in or is not suited for a particular situation,He felt like a square peg in a round hole at the new school.,4 class
556,To tick all the boxes,To meet all the requirements or criteria,"After passing the interview and having the necessary qualifications, she ticked all the boxes for the job.",4 class
557,To be boxed into a corner,To be forced into a difficult or uncomfortable position with limited options,"After making a mistake at work, he was boxed into a corner and had to apologize.",4 class
558,To be a box of tricks,"To be clever, resourceful, or unpredictable","With her quick thinking and problem-solving skills, she was a box of tricks in the escape room game.",4 class
559,To have one foot in the box,To be close to death or retirement,"After working for over 50 years, he had one foot in the box and was looking forward to retirement.",4 class
560,To be a jack-in-the-box,To be someone who is unpredictable or surprising,"He was a jack-in-the-box when it came to his sense of humor, always making people laugh unexpectedly.",4 class
561,To be boxed up,To be packaged or prepared for shipping,"After ordering the new book online, it was boxed up and shipped to her house.",4 class
562,To be a box of chocolates,To be full of surprises or unpredictable outcomes,"Life is like a box of chocolates, you never know what you're going to get.",4 class
