id,word,word_definition,antonyms,synonyms,example,relevance
1172,Proud,Feeling a sense of self-esteem and self-respect,"Ashamed, embarrassed, insecure, unsure","Proud, confident, self-assured, self-respectful",The student was proud of who they were and what they had accomplished.,2 class
1173,Playmate,A person who plays or engages in activities with another person,"Enemy, rival, foe, adversary","Companion, friend, buddy, playmate",The student enjoyed spending time with his playmate.,2 class
1174,Persistent,Continuing or recurring over a long period of time,"Giving up, quitting, surrendering, submissive","Persevering, tenacious, stubborn, relentless",The student was persistent in mastering the new skill.,2 class
1175,Lion,A large carnivorous feline mammal,"Herbivore, Domestic Cat, Coward, Weakling","Panthera leo, King of the Jungle, Wild Cat, Big Cat",The lion is the king of the jungle.,2 class
1176,Lemon,A tart fruit with yellow skin and acidic juice,"Sweet, Mild, Bland, Flavorless","Citrus, Sour, Tangy, Acidic",The lemonade tastes sour because of the lemon juice.,2 class
1177,Llama,A domesticated South American mammal used for meat and wool,"Predator, Prey, Wild, Feral","Camelid, Andean Pack Animal, Alpaca, Vicu�a",The llama is carrying a heavy load on its back.,2 class
1178,Lizard,"A reptile with scaly skin, four legs, and a long tail","Mammal, Bird, Fish, Amphibian","Gecko, Chameleon, Skink, Iguana",The lizard basked in the sun on the rock.,2 class
1179,Laptop,A portable computer that can be used on one's lap,"Desktop, Workstation, Server, Mainframe","Notebook, Ultrabook, Chromebook, Tablet",The student uses a laptop to complete their school work.,2 class
1180,Lemonade,"A sweetened beverage made with lemon juice, water, and sugar","Unsweetened Drink, Bitter Drink, Unsavory Drink, Tart Drink","Citrus Drink, Lemon Juice, Lemon Water, Lemon Cooler",The student loves to drink lemonade on a hot day.,2 class
1181,Library,A place where books and other materials are kept for reading and research,"Bookstore, Newsstand, Magazine Rack, Gaming Store","Collection, Repository, Archive, Resource Center",The student visits the library to borrow books for their research.,2 class
1182,Lollipop,A piece of hard candy on a stick,"Vegetable, Fruit, Nut, Savory","Sucker, Candy Pop, Sweet Treat, Confection",The student received a lollipop as a reward for their good behavior.,2 class
1183,Lightning,A sudden and powerful electrical discharge in the atmosphere,"Calm, Serene, Peaceful, Quiet","Thunderbolt, Electric Spark, Arc, Flash",The student is afraid of lightning during thunderstorms.,2 class
1184,Letter,A written or printed message addressed to a person or organization,"Phone Call, Text Message, Email, Telegram","Note, Missive, Memo, Dispatch",The student wrote a letter to their pen pal in another country.,2 class
1185,Lunch,"A midday meal, typically eaten at school or work","Breakfast, Dinner, Supper, Late-Night Snack","Midday Meal, Noon Meal, Brunch, Snack",The student brought a sandwich and fruit for their lunch at school.,2 class
1186,Laugh,To make the sounds and movements that express amusement or joy,"Cry, Sob, Weep, Wail","Chuckle, Giggle, Snicker, Chortle",The student laughed at the funny joke told by their teacher.,2 class
1187,Luggage,"Suitcases, bags, and other containers used to carry one's belongings","Unpacked, Unloaded, Unpacked, Unburdened","Baggage, Trunk, Satchel, Backpack",The student packed their luggage for their trip to visit their grandparents.,2 class
1188,Lipstick,A cosmetic applied to the lips for color and texture,"Foundation, Concealer, Eye Shadow, Mascara","Lip Gloss, Lip Balm, Lip Stain, Lip Tint",The student's mother wears red lipstick to work every day.,2 class
1189,Optimistic,Having a positive outlook on life,"Pessimistic, negative, gloomy, doubtful","Positive, hopeful, confident, upbeat",The student was optimistic about their chances of success.,2 class
1190,Observant,Paying attention to details,"Inattentive, unobservant, unaware, oblivious","Attentive, perceptive, watchful, alert",The student was very observant and noticed even the smallest details.,2 class
1191,Organized,Arranged in a systematic way,"Disorganized, chaotic, messy, unstructured","Systematic, orderly, structured, methodical",The student's backpack was always organized and tidy.,2 class
1192,Outgoing,Friendly and sociable,"Shy, introverted, reserved, unsociable","Friendly, sociable, gregarious, extroverted",The student was outgoing and made friends easily.,2 class
1193,Obedient,Following rules and authority,"Disobedient, rebellious, defiant, insubordinate","Compliant, submissive, dutiful, respectful",The student was obedient and always followed the teacher's instructions.,2 class
1194,Open-minded,Willing to consider new ideas,"Closed-minded, intolerant, biased, narrow-minded","Receptive, accepting, unprejudiced, unbiased",The student was open-minded and willing to listen to different perspectives.,2 class
1195,Original,Creative and unique,"Unoriginal, conventional, ordinary, uncreative","Creative, innovative, unique, inventive",The student's artwork was original and imaginative.,2 class
1196,Optimism,A positive outlook on life,"Pessimism, negativity, hopelessness, doubt","Positivity, hope, confidence, positivity",The student's optimism was contagious and lifted the mood of the class.,2 class
1197,Outspoken,Expressing opinions and thoughts freely,"Reserved, quiet, shy, timid","Frank, candid, blunt, direct",The student was outspoken and always shared their thoughts and ideas.,2 class
1198,Outstanding,Exceptionally good or impressive,"Average, mediocre, ordinary, unremarkable","Excellent, exceptional, remarkable, extraordinary",The student's academic performance was outstanding.,2 class
1199,Observance,The act of watching or noticing something,"Neglect, inattention, disregard, obliviousness","Attention, vigilance, scrutiny, awareness",The student's observance of the rules was commendable.,2 class
1200,Ownership,Having control or possession of something,"Dispossession, loss, surrender, forfeiture","Possession, control, ownership, hold",The student took ownership of their mistakes and worked to improve.,2 class
1201,Observe,To watch or notice something,"Ignore, neglect, disregard, overlook","Watch, notice, see, perceive",The student was able to observe the changes in nature over time.,2 class
1202,Orderly,Arranged in a neat and organized way,"Messy, disorganized, chaotic, unstructured","Neat, tidy, systematic, structured",The student's desk was always orderly and clean.,2 class
1203,Overcome,To defeat or conquer something,"Surrender, give up, succumb, yield to","Conquer, defeat, master, triumph over",The student was able to overcome their fear of public speaking.,2 class
1204,Objective,Unbiased and based on facts,"Biased, prejudiced, subjective, opinionated","Impartial, fair, neutral, unbiased",The student's analysis of the data was objective and impartial.,2 class
1205,Cat,A small carnivorous mammal domesticated as a pet,"Dog, Fish, Bird, Reptile","Feline, Kitty, Tom, Puss",The student loves to play with their cat after school.,2 class
1206,Carrot,An orange root vegetable rich in vitamin A,"Meat, Sweet, Dessert, Junk Food","Root, Veggie, Orange Stick, Rabbit Food",The student's favorite snack is carrot sticks with ranch dressing.,2 class
1207,Clock,A device for measuring and displaying time,"Sundial, Hourglass, Calendar, Calendar","Timepiece, Watch, Stopwatch, Timer",The student uses the clock to know when it's time for class.,2 class
1208,Cloud,A visible mass of condensed water vapor in the sky,"Clear, Sunny, Bright, Blue Sky","Cumulus, Nimbus, Stratus, Cirrus",The student sees a rabbit in the shape of a cloud in the sky.,2 class
1209,Camera,A device used for taking photographs or making videos,"Projector, Screen, Film, Darkroom","Cam, Camcorder, Video Camera, Digital Camera",The student took a picture of their family with their camera.,2 class
1210,Cookie,A small sweet baked treat usually eaten as a dessert,"Vegetable, Fruit, Meat, Soup","Biscuit, Cracker, Waffle, Brownie",The student loves to eat chocolate chip cookies after dinner.,2 class
1211,Cupcake,A small cake baked in a cup-shaped container,"Vegetable, Fruit, Meat, Soup","Muffin, Fairy Cake, Patty Cake, Sweet Treat",The student's mother made them vanilla cupcakes for their birthday.,2 class
1212,Chair,A seat with a back and typically four legs for one person,"Table, Bed, Couch, Futon","Seat, Stool, Bench, Ottoman",The student sits on a chair at their desk to do their homework.,2 class
1213,Crayon,A stick of colored wax used for drawing or coloring,"Eraser, Sharpener, Pen, Pencil","Coloring Pencil, Marker, Chalk, Paint",The student colored a picture with their blue crayon.,2 class
1214,Circle,A round shape with no beginning or end,"Square, Triangle, Rectangle, Hexagon","Ring, Round, Sphere, Disc",The student drew a circle on their paper using their compass.,2 class
1215,Candy,"A sweet food made with sugar or syrup, often flavored and colored","Vegetable, Fruit, Meat, Soup","Sweet Treat, Lollipop, Chocolate, Gumdrop",The student's teacher gave them candy for doing well on their test.,2 class
1216,Cracker,"A thin, crisp biscuit usually eaten with cheese or spreads","Vegetable, Fruit, Meat, Soup","Biscuit, Cookie, Saltine, Wheat Thin",The student ate crackers and cheese for their snack.,2 class
1217,Clap,To strike the palms of one's hands together as a form of applause or to make a loud sound,"Whisper, Mumble, Shush, Hush","Applaud, Cheer, Clatter, Slam",The student clapped their hands when their friend finished singing.,2 class
1218,Cactus,A desert plant with spines instead of leaves,"Flower, Tree, Grass, Shrub","Prickly Pear, Succulent, Agave, Aloe Vera",The student saw a cactus in the desert during their vacation.,2 class
1219,Jacket,"A piece of clothing worn on the upper body, typically having sleeves and a fastening down the front","Shirt, Tank Top, Dress, Shorts","Coat, Blazer, Parka, Windbreaker",The student wears a jacket to keep warm on cold days.,2 class
1220,Jelly,"A sweet, semitransparent food made by boiling sugar and fruit juice","Vegetable, Meat, Soup, Salad","Jam, Preserves, Marmalade, Fruit Spread",The student puts jelly on their toast for breakfast.,2 class
1221,Juice,The liquid obtained from or present in fruit or vegetables,"Solid, Gas, Dry, Empty","Nectar, Extract, Pulp, Beverage",The student drinks orange juice with their breakfast every morning.,2 class
1222,Jump,To push oneself off the ground using one's legs,"Walk, Run, Crawl, Stumble","Leap, Hop, Bounce, Spring",The student loves to jump on the trampoline in their backyard.,2 class
1223,Juggle,"To continuously toss and catch objects in the air, typically with two or more objects","Drop, Lose, Fail, Miss","Balance, Toss, Play, Maneuver",The student learned how to juggle three balls at the circus.,2 class
1224,Jacket,"A piece of clothing worn on the upper body, typically having sleeves and a fastening down the front","Shirt, Tank Top, Dress, Shorts","Coat, Blazer, Parka, Windbreaker",The student wears a jacket to keep warm on cold days.,2 class
1225,Jigsaw,A puzzle consisting of a picture printed on cardboard or wood and cut into various pieces of different shapes,"Answer, Solution, Explanation, Clarity","Puzzle, Brainteaser, Enigma, Mystery",The student put together a jigsaw puzzle of a castle with their friends.,2 class
1226,Joy,A feeling of great pleasure and happiness,"Sadness, Misery, Sorrow, Grief","Delight, Elation, Jubilation, Exultation",The student feels joy when they get to spend time with their family.,2 class
